DataTimeStamp,WaveType,ZCN,Havg,Tavg,Hmax,Tmax,MaxCrest,Hsig,Tsig,H110,T110,MeanPeriod,MeanDirection,MeanSpread,PeakPeriod,PeakDirection,PeakSpread,TP5,HM0,Te,DurationMs,F1,F2
2020-12-01 00:00:00,0.0,103.0,2.049,10.399,5.039,,,3.279,12.399,4.239,12.699000000000002,10.399,283.7,21.0,16.7,,,15.0,3.359,,,,
2020-12-01 00:20:00,0.0,93.0,2.309,11.5,5.71,,,3.74,14.8,4.59,14.199000000000002,11.3,279.6,18.399,16.7,,,16.1,3.98,,,,
2020-12-01 00:40:00,0.0,110.0,1.919,10.399,5.9689999999999985,,,3.319,13.3,4.28,13.699000000000002,9.699,275.29900000000004,22.6,16.7,,,16.5,3.509,,,,
2020-12-01 01:00:00,0.0,104.0,2.24,9.8,6.199,,,3.529,12.8,4.51,13.199000000000002,10.3,276.5,23.299,14.3,,,13.699000000000002,3.619,,,,
2020-12-01 01:20:00,0.0,104.0,2.21,8.8,4.26,,,3.259,12.3,3.799,12.199000000000002,10.199,275.899,24.6,16.7,,,13.199000000000002,3.42,,,,
2020-12-01 01:40:00,0.0,131.0,1.87,8.3,4.789,,,3.13,11.8,3.99,12.899,8.199,276.1,25.6,14.3,,,13.6,3.45,,,,
2020-12-01 02:00:00,0.0,120.0,2.029,8.899,5.769,,,3.48,13.0,4.619,13.8,9.0,278.5,24.2,15.399,,,14.8,3.64,,,,
2020-12-01 02:20:00,0.0,124.0,2.099,8.399,5.13,,,3.549,12.399,4.36,12.5,8.6,277.29900000000004,24.399,15.399,,,14.199000000000002,3.68,,,,
2020-12-01 02:40:00,0.0,146.0,1.72,7.8,5.599,,,3.019,11.5,4.01,13.199000000000002,7.3,278.2,26.2,16.7,,,15.399,3.339,,,,
2020-12-01 03:00:00,0.0,130.0,2.059,7.599,4.96,,,3.329,12.1,4.039,12.5,8.3,280.29900000000004,25.0,15.399,,,13.699000000000002,3.49,,,,
2020-12-01 03:20:00,0.0,118.0,2.49,8.8,5.989,,,4.19,13.5,5.039,12.899,9.1,278.899,20.399,16.7,,,16.1,4.34,,,,
2020-12-01 03:40:00,0.0,125.0,2.14,8.399,5.17,,,3.569,12.399,4.57,13.1,8.6,277.7,24.1,12.5,,,13.699000000000002,3.829,,,,
2020-12-01 04:00:00,0.0,131.0,2.19,8.1,7.269,,,3.75,12.3,4.73,12.699000000000002,8.199,282.2990000000001,22.899,14.3,,,14.0,3.88,,,,
2020-12-01 04:20:00,0.0,127.0,2.289,8.3,6.15,,,3.89,12.3,4.809,12.3,8.5,283.0,21.1,14.3,,,13.6,4.01,,,,
2020-12-01 04:40:00,0.0,132.0,2.2,7.8,6.25,,,3.74,12.0,4.63,12.6,8.1,281.5,23.899,13.3,,,12.8,3.849,,,,
2020-12-01 05:00:00,0.0,126.0,2.289,7.9,5.78,,,3.789,12.0,4.76,12.6,8.5,280.7,26.1,14.3,,,13.5,3.799,,,,
2020-12-01 05:20:00,0.0,151.0,2.089,7.4,5.88,,,3.539,10.899,4.36,12.199000000000002,7.099,283.0,25.2,15.399,,,13.8,3.89,,,,
