DataTimeStamp,WaveType,ZCN,Havg,Tavg,Hmax,Tmax,MaxCrest,Hsig,Tsig,H110,T110,MeanPeriod,MeanDirection,MeanSpread,PeakPeriod,PeakDirection,PeakSpread,TP5,HM0,Te,DurationMs,F1,F2
2020-11-17 00:00:00,0.0,174.0,1.69,6.199,4.8,,,2.73,9.399,3.529,10.699000000000002,6.099,276.399,30.5,12.5,,,12.1,2.97,,,,
2020-11-17 00:20:00,0.0,177.0,1.649,5.9,5.57,,,2.73,9.399,3.41,9.899,6.099,270.7,30.6,12.5,,,12.399,2.89,,,,
2020-11-17 00:40:00,0.0,165.0,1.71,6.099,5.17,,,2.759,9.399,3.68,10.6,6.5,271.899,30.7,12.5,,,12.5,2.92,,,,
2020-11-17 01:00:00,0.0,173.0,1.679,6.0,4.65,,,2.67,9.199,3.45,10.6,6.199,273.1,29.899,12.5,,,12.3,2.92,,,,
2020-11-17 01:20:00,0.0,181.0,1.639,5.699,3.93,,,2.64,9.1,3.349,11.399,5.9,271.399,31.799,13.3,,,13.0,2.819,,,,
2020-11-17 01:40:00,0.0,180.0,1.679,5.8,4.239,,,2.68,8.899,3.369,10.6,6.0,261.6,28.799,11.8,,,12.0,2.95,,,,
2020-11-17 02:00:00,0.0,154.0,1.86,6.5,5.0,,,3.019,10.8,4.03,12.3,7.0,268.79900000000004,26.2,12.5,,,12.6,3.19,,,,
2020-11-17 02:20:00,0.0,165.0,1.7990000000000002,6.099,4.75,,,2.9,9.6,3.579,9.899,6.5,267.6,27.6,12.5,,,12.3,3.009,,,,
2020-11-17 02:40:00,0.0,181.0,1.759,5.8,5.059,,,2.799,8.899,3.569,10.8,5.9,259.399,28.2,12.5,,,12.399,3.059,,,,
2020-11-17 03:00:00,0.0,199.0,1.5490000000000002,5.4,4.17,,,2.44,7.9,3.13,9.699,5.4,246.899,30.6,12.5,,,12.699000000000002,2.72,,,,
2020-11-17 03:20:00,0.0,202.0,1.61,5.199,4.15,,,2.519,7.4,3.22,8.5,5.3,234.5,31.899,12.5,,,12.5,2.789,,,,
2020-11-17 03:40:00,0.0,177.0,1.7990000000000002,5.699,4.769,,,2.809,8.8,3.4,9.5,6.099,247.699,27.5,12.5,,,12.5,3.0,,,,
2020-11-17 04:00:00,0.0,184.0,1.71,5.699,4.78,,,2.63,8.0,3.42,9.8,5.8,242.899,30.2,12.5,,,12.6,2.92,,,,
2020-11-17 04:20:00,0.0,200.0,1.59,5.3,4.15,,,2.49,7.5,3.14,8.899,5.4,227.899,30.299,12.5,,,12.199000000000002,2.75,,,,
2020-11-17 04:40:00,0.0,190.0,1.659,5.5,4.2189999999999985,,,2.63,7.9,3.25,9.699,5.599,232.699,31.399,12.5,,,12.0,2.839,,,,
2020-11-17 05:00:00,0.0,204.0,1.59,5.5,4.559,,,2.599,7.5,3.369,9.3,5.3,230.699,30.6,12.5,,,12.699000000000002,2.849,,,,
2020-11-17 05:20:00,0.0,206.0,1.5590000000000002,5.099,4.19,,,2.349,6.699,2.91,7.099,5.199,218.6,32.599000000000004,12.5,,,12.399,2.609,,,,
2020-11-17 05:40:00,0.0,200.0,1.62,5.199,3.98,,,2.519,6.8,3.17,7.0,5.4,214.1,32.299,12.5,,,11.0,2.69,,,,
2020-11-17 06:00:00,0.0,204.0,1.5590000000000002,5.099,3.519,,,2.44,7.0,2.94,7.099,5.3,212.3,33.599000000000004,13.3,,,9.3,2.65,,,,
2020-11-17 06:20:00,0.0,210.0,1.529,5.199,3.97,,,2.43,7.199,3.029,7.5,5.099,217.899,32.2,12.5,,,12.3,2.65,,,,
2020-11-17 06:40:00,0.0,203.0,1.629,5.3,4.6789999999999985,,,2.589,6.9,3.269,7.599,5.3,212.1,31.7,12.5,,,11.399,2.789,,,,
2020-11-17 07:00:00,0.0,205.0,1.72,5.199,3.48,,,2.549,6.599,3.099,6.099,5.3,207.8,30.799,11.1,,,7.5,2.809,,,,
2020-11-17 07:20:00,0.0,188.0,1.73,5.3,4.13,,,2.609,7.5,3.2,7.699,5.699,209.199,31.2,12.5,,,8.5,2.799,,,,
2020-11-17 07:40:00,0.0,193.0,1.74,5.199,4.3889999999999985,,,2.64,7.099,3.269,7.599,5.599,214.3,31.6,12.5,,,10.8,2.859,,,,
2020-11-17 08:00:00,0.0,204.0,1.659,5.3,4.4,,,2.529,6.599,3.069,7.599,5.3,207.699,32.0,5.699,,,7.4,2.74,,,,
2020-11-17 08:20:00,0.0,200.0,1.669,5.4,3.91,,,2.63,7.4,3.25,7.8,5.4,210.1,30.6,12.5,,,8.8,2.829,,,,
2020-11-17 08:40:00,0.0,197.0,1.779,5.199,4.269,,,2.65,6.8,3.17,6.5,5.5,205.399,31.2,6.3,,,6.699,2.869,,,,
2020-11-17 09:00:00,0.0,189.0,1.889,5.5,4.329,,,2.92,7.199,3.609,7.099,5.699,212.3,28.1,6.5,,,7.4,3.099,,,,
2020-11-17 09:20:00,0.0,191.0,1.889,5.5,4.78,,,2.92,7.199,3.589,7.4,5.599,214.199,28.799,6.9,,,7.5,3.14,,,,
2020-11-17 09:40:00,0.0,182.0,2.15,5.699,5.17,,,3.45,7.599,4.34,7.199,5.9,213.699,26.7,6.9,,,7.3,3.539,,,,
2020-11-17 10:00:00,0.0,189.0,2.18,5.699,5.05,,,3.48,7.3,4.1789999999999985,7.5,5.699,210.699,28.799,6.9,,,7.0,3.64,,,,
2020-11-17 10:20:00,0.0,197.0,1.98,5.599,4.59,,,3.23,7.099,4.019,7.599,5.5,208.899,30.5,6.9,,,7.199,3.45,,,,
2020-11-17 10:40:00,0.0,202.0,1.879,5.5,4.599,,,2.96,7.0,3.66,7.3,5.3,207.0,32.7,6.9,,,7.0,3.17,,,,
2020-11-17 11:00:00,0.0,190.0,2.069,5.699,4.88,,,3.289,7.3,4.01,7.599,5.699,212.6,28.399,6.9,,,7.0,3.44,,,,
2020-11-17 11:20:00,0.0,192.0,1.99,5.599,5.099,,,3.079,7.199,4.01,7.699,5.599,210.6,30.2,6.3,,,6.8,3.339,,,,
2020-11-17 11:40:00,0.0,182.0,2.119,5.699,5.25,,,3.339,7.199,4.1789999999999985,7.0,5.9,207.3,29.2,7.4,,,7.3,3.46,,,,
2020-11-17 12:00:00,0.0,180.0,2.089,5.599,5.409,,,3.25,7.4,4.119,7.3,6.0,208.5,30.2,7.099,,,7.4,3.4,,,,
2020-11-17 12:20:00,0.0,192.0,2.039,5.699,5.23,,,3.269,7.099,3.91,7.699,5.599,208.899,29.799,7.699,,,8.0,3.43,,,,
2020-11-17 12:40:00,0.0,188.0,2.079,5.599,5.65,,,3.19,7.3,4.0,7.5,5.699,208.1,29.0,7.099,,,7.4,3.39,,,,
2020-11-17 13:00:00,0.0,189.0,2.079,5.8,5.739,,,3.39,7.5,4.239,7.599,5.699,213.899,28.5,7.099,,,7.699,3.549,,,,
2020-11-17 13:20:00,0.0,190.0,1.97,5.9,5.57,,,3.21,7.4,4.099,7.8,5.699,213.0,29.2,7.4,,,7.699,3.41,,,,
2020-11-17 13:40:00,0.0,193.0,1.919,5.599,5.519,,,3.109,7.599,3.94,8.0,5.599,214.0,30.7,6.9,,,8.5,3.299,,,,
2020-11-17 14:00:00,0.0,187.0,1.96,5.699,5.19,,,3.25,7.599,4.199,8.3,5.8,214.399,30.1,8.3,,,8.3,3.4,,,,
2020-11-17 14:20:00,0.0,180.0,2.059,5.699,6.28,,,3.319,7.8,4.309,8.1,5.9,212.399,31.799,7.699,,,8.5,3.43,,,,
