DataTimeStamp,WaveType,ZCN,Havg,Tavg,Hmax,Tmax,MaxCrest,Hsig,Tsig,H110,T110,MeanPeriod,MeanDirection,MeanSpread,PeakPeriod,PeakDirection,PeakSpread,TP5,HM0,Te,DurationMs,F1,F2
2020-12-01 00:00:00,0.0,173.0,1.45,6.199,3.94,,,2.289,8.8,3.049,10.899,6.199,298.2990000000001,29.6,20.0,,,16.6,2.589,,,,
2020-12-01 00:20:00,0.0,185.0,1.47,5.9,3.569,,,2.299,8.0,2.799,9.6,5.8,293.6,30.1,18.2,,,14.8,2.589,,,,
2020-12-01 00:40:00,0.0,171.0,1.57,6.099,3.44,,,2.39,8.899,2.829,10.199,6.199,295.899,27.6,14.3,,,13.5,2.64,,,,
2020-12-01 01:00:00,0.0,166.0,1.57,6.3,3.71,,,2.46,9.1,2.99,11.3,6.5,294.399,29.1,18.2,,,18.1,2.75,,,,
2020-12-01 01:20:00,0.0,165.0,1.61,6.199,3.359,,,2.47,9.1,2.94,10.8,6.5,295.399,29.2,18.2,,,16.0,2.779,,,,
2020-12-01 01:40:00,0.0,171.0,1.519,6.0,3.21,,,2.38,8.699,2.869,10.3,6.3,299.2,30.6,18.2,,,16.0,2.63,,,,
2020-12-01 02:00:00,0.0,162.0,1.69,6.5,4.15,,,2.529,9.0,3.17,10.6,6.599,295.6,28.2,14.3,,,14.399,2.869,,,,
2020-12-01 02:20:00,0.0,172.0,1.62,6.199,3.88,,,2.48,8.8,3.049,10.0,6.199,299.7990000000001,28.399,14.3,,,12.199000000000002,2.809,,,,
2020-12-01 02:40:00,0.0,172.0,1.539,6.3,4.1389999999999985,,,2.46,9.199,2.98,11.6,6.199,294.7990000000001,29.399,18.2,,,13.8,2.7,,,,
2020-12-01 03:00:00,0.0,172.0,1.6,6.099,3.809,,,2.46,8.8,3.109,11.399,6.199,299.0,29.799,14.3,,,14.1,2.779,,,,
2020-12-01 03:20:00,0.0,172.0,1.62,6.5,5.13,,,2.65,9.1,3.359,11.0,6.199,301.0,25.899,18.2,,,16.899,2.97,,,,
2020-12-01 03:40:00,0.0,164.0,1.75,6.5,3.75,,,2.72,9.1,3.289,10.6,6.5,296.5,28.799,18.2,,,13.699000000000002,3.009,,,,
2020-12-01 04:00:00,0.0,153.0,1.809,6.599,3.95,,,2.779,9.8,3.42,13.1,6.9,297.7,26.7,18.2,,,18.799,3.089,,,,
2020-12-01 04:20:00,0.0,179.0,1.58,6.0,4.309,,,2.46,8.3,3.009,11.0,6.0,300.5,33.2,18.2,,,16.5,2.779,,,,
2020-12-01 04:40:00,0.0,151.0,1.759,6.599,4.309,,,2.789,10.0,3.509,12.1,7.099,298.7990000000001,30.899,18.2,,,17.899,3.049,,,,
2020-12-01 05:00:00,0.0,164.0,1.629,6.5,4.03,,,2.569,9.699,3.349,12.3,6.5,300.6,28.6,18.2,,,17.299,2.869,,,,
2020-12-01 05:20:00,0.0,150.0,1.85,6.9,5.03,,,2.93,11.3,3.619,13.899,7.099,294.399,29.6,18.2,,,18.0,3.23,,,,
2020-12-01 05:40:00,0.0,159.0,1.73,6.699,5.1389999999999985,,,2.69,9.5,3.39,11.699000000000002,6.8,299.1,26.6,18.2,,,17.5,3.0,,,,
2020-12-01 06:00:00,0.0,161.0,1.74,6.699,4.42,,,2.72,9.699,3.44,11.8,6.699,296.5,27.6,18.2,,,16.399,3.089,,,,
2020-12-01 06:20:00,0.0,166.0,1.629,6.599,3.539,,,2.599,9.5,3.17,10.199,6.4,300.899,26.7,18.2,,,17.899,2.94,,,,
2020-12-01 06:40:00,0.0,157.0,1.74,6.9,4.789,,,2.859,10.5,3.68,12.6,6.8,299.5,27.2,16.7,,,14.5,3.119,,,,
2020-12-01 07:00:00,0.0,147.0,1.86,7.099,6.119,,,2.96,10.899,4.079,14.5,7.3,294.6,28.6,16.7,,,16.899,3.369,,,,
2020-12-01 07:20:00,0.0,123.0,2.13,7.9,4.84,,,3.23,13.199000000000002,4.05,15.699000000000002,8.699,298.7,26.299,18.2,,,17.799,3.529,,,,
2020-12-01 07:40:00,0.0,172.0,1.659,6.4,4.03,,,2.69,8.8,3.21,9.699,6.3,299.5,29.399,16.7,,,14.699000000000002,2.88,,,,
2020-12-01 08:00:00,0.0,154.0,1.83,6.599,4.03,,,2.91,10.0,3.609,11.8,7.0,298.7,30.2,16.7,,,16.7,3.15,,,,
2020-12-01 08:20:00,0.0,148.0,1.809,7.0,5.15,,,2.94,11.1,3.71,13.199000000000002,7.199,296.399,26.299,16.7,,,17.0,3.16,,,,
2020-12-01 08:40:00,0.0,153.0,1.7990000000000002,7.0,4.73,,,2.859,10.5,3.599,12.399,7.0,294.899,31.799,18.2,,,17.1,3.16,,,,
2020-12-01 09:00:00,0.0,158.0,1.82,6.8,4.46,,,2.94,9.6,3.779,12.1,6.8,299.2,30.899,16.7,,,16.5,3.24,,,,
